Reactions_Number,Temperature,S_C,H_logP,H_TPSA,Atom1 NBO charge,Atom3 NBO charge,Atom4 NBO charge,C=O/C=N Vibration Frequency,Sterimol L1,Sterimol Bmin1,Sterimol Bmax1,Sterimol L2,Sterimol Bmin2,Sterimol Bmax2,C_Di_HA,Bite_Anger,C_BL1,C_BL2,Ph_distance,N_Q1,N_Q2,M_Q,%V_bur,Ee
R11_11_Cat05_T298,298,200,0.17,27.57,-0.599,-0.21,-0.221,1780.96,11.52 ,1.97 ,4.64 ,6.08 ,1.70 ,6.04 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,0
R11_21_Cat05_T298,298,200,0.17,27.57,-0.604,-0.209,-0.221,1772.22,8.21 ,2.65 ,4.80 ,6.06 ,1.70 ,6.04 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,0
R11_09_Cat05_T298,298,200,0.17,27.57,-0.597,-0.21,-0.222,1782.04,7.32 ,1.70 ,6.04 ,6.08 ,1.70 ,6.04 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,6
R11_08_Cat05_T298,298,200,0.17,27.57,-0.6,-0.209,-0.221,1780.31,9.06 ,1.82 ,4.79 ,6.06 ,1.70 ,6.04 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,7
R11_10_Cat05_T298,298,200,0.17,27.57,-0.598,-0.209,-0.222,1783.32,9.06 ,1.82 ,4.79 ,7.32 ,1.70 ,6.04 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,12
R11_12_Cat05_T298,298,200,0.17,27.57,-0.611,-0.205,-0.209,1778.51,6.11 ,1.95 ,6.81 ,5.24 ,1.70 ,3.95 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,16
R11_19_Cat05_T298,298,200,0.17,27.57,-0.596,-0.21,-0.221,1783.43,6.09 ,1.70 ,6.05 ,6.08 ,1.70 ,6.04 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,21
R10_04_Cat05_T300,300,100,0.17,27.57,-0.577,0.619,-0.178,1723.66,6.24 ,1.70 ,6.05 ,5.93 ,1.70 ,3.49 ,40.8,77.14,2.15921,2.15291,1.74,-0.83,-0.553,0.027,0.794,24.6
R15_01_Cat08_T273_03,273,200,0.17,27.57,-0.561,-0.167,-0.24,1759.02,6.79 ,2.93 ,5.49 ,3.47 ,1.70 ,4.96 ,39.81,75.53,2.14825,2.17778,1.73,-0.875,-0.57,0.053,0.803,25
R11_04_Cat05_T298,298,200,0.17,27.57,-0.606,-0.204,-0.22,1775.87,9.06 ,1.82 ,4.78 ,5.25 ,1.70 ,3.96 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,27
R11_22_Cat05_T298,298,200,0.17,27.57,-0.595,-0.21,-0.217,1785.95,6.08 ,1.70 ,6.04 ,3.69 ,1.70 ,7.39 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,27
R11_23_Cat05_T298,298,200,0.17,27.57,-0.596,-0.21,-0.223,1783.3,7.55 ,1.70 ,6.50 ,7.55 ,1.70 ,6.50 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,28
R11_24_Cat05_T298,298,200,0.17,27.57,-0.597,-0.21,-0.223,1782.68,6.07 ,1.70 ,7.47 ,6.08 ,1.70 ,6.04 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,28
R15_01_Cat08_T273_02,273,200,0.17,27.57,-0.561,-0.167,-0.24,1759.02,6.79 ,2.93 ,5.49 ,3.47 ,1.70 ,4.96 ,40.81,78.9,2.15507,2.12024,1.74,-0.85,-0.732,0.008,0.745,28
R10_07_Cat05_T300,300,100,0.17,27.57,-0.539,0.606,-0.164,1767.09,8.33 ,1.70 ,4.03 ,4.49 ,1.70 ,4.97 ,40.8,77.14,2.15921,2.15291,1.74,-0.83,-0.553,0.027,0.794,29.5
R11_01_Cat05_T298,298,200,0.17,27.57,-0.606,-0.205,-0.221,1776.53,6.07 ,1.70 ,6.04 ,3.84 ,1.70 ,2.87 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,30
R11_07_Cat05_T298,298,200,0.17,27.57,-0.605,-0.203,-0.22,1777.06,9.06 ,1.82 ,4.78 ,6.56 ,1.74 ,3.41 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,31
R11_14_Cat05_T298,298,200,0.17,27.57,-0.604,-0.206,-0.218,1770.57,9.04 ,1.81 ,4.80 ,6.79 ,1.70 ,6.04 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,33
R10_05_Cat05_T300,300,100,0.17,27.57,-0.589,0.622,-0.199,1714.4,6.24 ,1.70 ,6.05 ,6.89 ,1.70 ,4.02 ,40.8,77.14,2.15921,2.15291,1.74,-0.83,-0.553,0.027,0.794,34.9
R15_01_Cat08_T273_04,273,200,0.17,27.57,-0.561,-0.167,-0.24,1759.02,6.79 ,2.93 ,5.49 ,3.47 ,1.70 ,4.96 ,40.8,77.14,2.15921,2.15291,1.74,-0.846,-0.553,0.023,0.794,36
R11_06_Cat05_T298,298,200,0.17,27.57,-0.605,-0.203,-0.221,1777.87,6.07 ,1.70 ,6.04 ,6.56 ,1.74 ,3.41 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,37
R11_03_Cat05_T298,298,200,0.17,27.57,-0.606,-0.204,-0.221,1775.94,6.07 ,1.70 ,6.04 ,5.25 ,1.70 ,3.96 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,39
R11_02_Cat05_T298,298,200,0.17,27.57,-0.606,-0.202,-0.221,1775.5,6.07 ,1.70 ,6.04 ,7.94 ,1.70 ,3.46 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,41
R14_16_Cat05_T298,298,100,0.17,27.57,-0.578,-0.13,-0.309,1713.53,5.24 ,1.70 ,7.69 ,6.30 ,1.70 ,6.04 ,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,41
R11_13_Cat05_T298,298,200,0.17,27.57,-0.603,-0.194,-0.225,1783.32,6.97 ,1.70 ,5.81 ,6.05 ,1.70 ,6.04 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,42
R10_01_Cat05_T300,300,100,0.17,27.57,-0.57,0.618,-0.168,1729.44,6.24 ,1.70 ,6.05 ,3.43 ,1.70 ,4.96 ,40.8,77.14,2.15921,2.15291,1.74,-0.83,-0.553,0.027,0.794,43.6
R10_03_Cat05_T300,300,100,0.17,27.57,-0.566,0.617,-0.167,1731.15,6.24 ,1.70 ,6.05 ,3.44 ,1.70 ,6.27 ,40.8,77.14,2.15921,2.15291,1.74,-0.83,-0.553,0.027,0.794,45.4
R11_05_Cat05_T298,298,200,0.17,27.57,-0.613,-0.206,-0.229,1770.5,6.23 ,1.89 ,6.96 ,6.05 ,1.70 ,6.04 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,46
R11_16_Cat05_T298,298,200,0.17,27.57,-0.597,-0.21,-0.216,1781.79,10.31 ,1.70 ,6.34 ,6.08 ,1.70 ,6.04 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,46
R10_10_Cat05_T300,300,100,0.17,27.57,-0.509,0.601,-0.166,1796.81,8.34 ,1.70 ,3.74 ,4.51 ,1.74 ,4.43 ,40.8,77.14,2.15921,2.15291,1.74,-0.83,-0.553,0.027,0.794,50
R11_25_Cat05_T298,298,200,0.17,27.57,-0.595,-0.21,-0.221,1783.09,6.09 ,1.70 ,6.94 ,6.08 ,1.70 ,6.04 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,50
R10_02_Cat05_T300,300,100,0.17,27.57,-0.573,0.619,-0.182,1727.26,7.88 ,1.70 ,6.04 ,3.43 ,1.70 ,5.57 ,40.8,77.14,2.15921,2.15291,1.74,-0.83,-0.553,0.027,0.794,52.04
R11_18_Cat05_T298,298,200,0.17,27.57,-0.603,-0.204,-0.222,1779.03,6.09 ,1.70 ,6.06 ,5.25 ,1.70 ,3.96 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,59
R16_01_Cat06_T313_02,313,20,0.17,27.57,-0.662,-0.315,-0.359,1646.29,3.87626,1.7,7.26205,3.32083,1.7,3.3117,40.6,74.85,2.15734,2.17588,1.73,-0.875,-0.57,0.042,0.809,60
R16_01_Cat04_T313_03,313,20,0.17,27.57,-0.662,-0.315,-0.359,1646.29,3.87626,1.7,7.26205,3.32083,1.7,3.3117,41.7,78.69,2.19256,2.17619,1.74,-0.865,-0.738,0.031,0.782,61
R11_17_Cat05_T298,298,200,0.17,27.57,-0.605,-0.202,-0.22,1775.04,10.30 ,1.70 ,6.30 ,6.79 ,1.83 ,6.13 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,65
R18_05_Cat11_T293,293,200,0.17,27.57,-0.708,-0.112,-0.514,1607.8,4.52 ,2.17 ,4.60 ,5.48 ,1.81 ,3.10 ,47.9,78.98,2.15993,2.12513,1.91,-0.882,-0.774,-0.22,0.794,67
R11_15_Cat05_T298,298,200,0.17,27.57,-0.605,-0.204,-0.216,1776.8,10.31 ,1.70 ,6.35 ,5.24 ,1.70 ,3.96 ,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,68
R18_04_Cat11_T293,293,200,0.17,27.57,-0.702,-0.116,-0.742,1614.16,4.52 ,2.17 ,4.60 ,2.19 ,1.70 ,2.14 ,47.9,78.98,2.15993,2.12513,1.91,-0.882,-0.774,-0.22,0.794,68
R04_02_Cat05_T301,301,200,0.17,27.57,-0.634,-0.351,-0.791,1735.49,3.54 ,1.70 ,5.03 ,2.19 ,1.70 ,2.13 ,39.9,77.32,2.16677,2.15106,1.74,-0.834,-0.553,0.033,0.792,69
R03_11_Cat04_T303,303,100,0.17,27.57,-0.536,-0.172,-0.217,1752.14,6.55 ,1.70 ,3.83 ,3.43 ,1.70 ,4.96 ,41.4,78.61,2.15133,2.13191,1.74,-0.843,-0.741,0.025,0.783,70
R14_06_Cat05_T298,298,100,0.17,27.57,-0.564,-0.131,-0.135,1741.24,5.19 ,1.70 ,7.69 ,3.43 ,1.70 ,6.39 ,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,70
R16_07_Cat10_T313,313,20,0.17,27.57,-0.668,-0.325,-0.35,1654.69,6.68 ,1.70 ,7.37 ,3.32 ,1.70 ,3.31 ,42.7,78.41,2.17674,2.13292,1.74,-0.85,-0.74,0.028,0.784,70
