Reactions_Number,Temperature,S_C,H_logP,H_TPSA,Atom1 NBO charge,Atom3 NBO charge,Atom4 NBO charge,C=O/C=N Vibration Frequency,Sterimol L1,Sterimol Bmin1,Sterimol Bmax1,Sterimol L2,Sterimol Bmin2,Sterimol Bmax2,C_Di_HA,Bite_Anger,C_BL1,C_BL2,Ph_distance,N_Q1,N_Q2,M_Q,%V_bur,Ee
R21_05_Cat08_T298,298,100,0.17,27.57,-0.537,-0.167,-0.438,1783.84,6.43,1.7,5.97,3.46,1.7,4.96,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,98.0
R05_07_Cat06_T333,333,500,0.17,27.57,-0.609,-0.236,-0.301,1731.87,4.14,1.7,4.59,2.49,1.7,3.5,40.6,75.07,2.14675,2.1771,1.73,-0.872,-0.57,0.037,0.81,99.8
R8_09_Cat08_T303,303,100,0.17,27.57,-0.58,-0.187,-0.567,1769.38,8.02,1.74,5.4,3.43,1.7,6.27,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,99.0
R16_16_Cat10_T313,313,20,0.17,27.57,-0.655,-0.3,-0.36,1656.29,3.97,1.7,8.92,3.32,1.7,3.31,42.7,78.41,2.17674,2.13292,1.74,-0.85,-0.74,0.028,0.784,82.0
R22_01_Cat13_T313,313,1000,0.17,27.57,-0.666,-0.234,-0.777,1619.91,6.36,1.7,4.77,2.18,1.7,2.13,42.9,78.77,2.11587,2.15011,1.82,-0.833,-0.745,-0.265,0.706,97.2
R21_09_Cat08_T298,298,100,0.17,27.57,-0.54,-0.161,-0.441,1772.06,3.47,1.7,6.5,4.12,2.05,4.07,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99.0
R07_13_Cat05_T300,300,100,0.17,27.57,-0.561,-0.153,-0.563,1813.87,6.93,1.7,4.91,2.28,1.7,3.25,40.8,77.14,2.15921,2.15291,1.74,-0.83,-0.553,0.027,0.794,88.1
R13_28_Cat05_T298,298,67,0.17,27.57,-0.551,0.628,-0.555,1782.84,6.41,2.34,6.91,5.49,1.79,3.1,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,97.0
R12_13_Cat08_T323,323,200,-0.327466667,27.02666667,-0.61,-0.172,-0.216,1731.67,10.39,1.9,5.84,3.42,1.7,4.96,48.2,79.02,2.1505,2.11373,1.92,-0.901,-0.575,0.24,0.817,99.0
R03_03_Cat04_T303,303,100,0.17,27.57,-0.54,-0.222,-0.568,1802.39,18.52,1.96,3.72,8.62,2.47,5.74,41.4,78.61,2.15133,2.13191,1.74,-0.843,-0.741,0.025,0.783,98.0
R05_12_Cat06_T303,303,500,0.17,27.57,-0.594,-0.169,-0.437,1750.64,5.27,1.7,3.29,3.36,1.7,4.93,40.6,75.05,2.14777,2.17693,1.73,-0.872,-0.57,0.037,0.81,99.6
R13_26_Cat05_T298,298,67,0.17,27.57,-0.531,0.616,-0.657,1811.12,6.46,2.4,7.0,6.54,1.7,3.79,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,98.0
R21_10_Cat08_T298,298,100,0.17,27.57,-0.534,-0.144,-0.441,1777.13,3.46,1.7,6.4,4.12,2.05,4.07,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99.0
R19_16_Cat09_T298,298,100,0.17,27.57,-0.482,-0.12,-0.734,1702.93,4.47,2.29,4.94,2.19,1.7,2.14,43.2,73.83,2.1406,2.13939,1.74,-0.836,-0.567,-0.005,0.799,80.0
R20_04_Cat12_T323,323,100,-0.14,72.3,-0.616,-0.161,-0.345,1763.98,8.54,2.37,6.28,3.25,1.97,3.24,48.1,78.41,2.18974,2.12848,1.74,-0.851,-0.737,0.032,0.784,99.0
R22_09_Cat13_T333,333,1000,0.17,27.57,-0.62,-0.131,-0.555,1702.82,5.69,1.7,5.21,3.28,1.7,2.7,42.8,78.79,2.11552,2.15028,1.82,-0.833,-0.745,-0.265,0.706,97.8
